X_id,estId,estName,addrFull,srvType,insStatus,insDate,observation,infCategory,defDesc,infType,actionDesc,OutcomeDate,OutcomeDesc,fineAmount,geometry
23,10459024,SEKAI NAIL & BEAUTY BAR,968 QUEEN ST W,Aesthetics,Pass,2020-02-05,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.41737, 43.64463]]}"
24,10459024,SEKAI NAIL & BEAUTY BAR,968 QUEEN ST W,Nails,Pass,2023-11-01,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.41737, 43.64463]]}"
25,10459024,SEKAI NAIL & BEAUTY BAR,968 QUEEN ST W,Nails,Pass,2020-02-13,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.41737, 43.64463]]}"
26,10459024,SEKAI NAIL & BEAUTY BAR,968 QUEEN ST W,Nails,Conditional Pass,2020-02-12,One or more significant infractions were observed under the Bodysafe Premises Regulation during an inspection.,01 - Public Health Notification,Operator fail to post inspection results in accordance with inspector's request. Reg. Sec. 4,C - Crucial,Notice to Comply,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.41737, 43.64463]]}"
27,10459024,SEKAI NAIL & BEAUTY BAR,968 QUEEN ST W,Nails,Conditional Pass,2020-02-11,One or more significant infractions were observed under the Bodysafe Premises Regulation during an inspection.,09 - Additional Record Requirements,Fail to keep accidental exposure records of personal service setting as required. Reg. Para. 4 of subsec. 14 (1),C - Crucial,Notice to Comply,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.41737, 43.64463]]}"
28,10459024,SEKAI NAIL & BEAUTY BAR,968 QUEEN ST W,Nails,Pass,2020-02-05,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.41737, 43.64463]]}"
29,10463924,LA BELLE NAILS AND SPA,1609 DUNDAS ST W,Nails,Pass,2020-03-17,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.43524, 43.64966]]}"
30,10463924,LA BELLE NAILS AND SPA,1609 DUNDAS ST W,Nails,Conditional Pass,2020-03-10,One or more significant infractions were observed under the Bodysafe Premises Regulation during an inspection.,03 - Service Provider Hygiene & Handwashing,Personal service setting - handwashing sink not conveniently located to work area. Reg. Subpara. 5 i of subsec. 8 (1),C - Crucial,Notice to Comply,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.43524, 43.64966]]}"
31,10464222,MARTINA'S ESTHETICS AND SPA,"1500 ISLINGTON AVE, BSMT",Aesthetics,Pass,2023-11-30,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.53175, 43.66295]]}"
32,10464222,MARTINA'S ESTHETICS AND SPA,"1500 ISLINGTON AVE, BSMT",Nails,Pass,2023-11-30,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.53175, 43.66295]]}"
33,10465284,HAPPY SALON,"2058 ELLESMERE RD, UNIT-7",Barbering & Hairdressing,Pass,2020-01-29,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.23444, 43.77674]]}"
34,10465284,HAPPY SALON,"2058 ELLESMERE RD, UNIT-7",Barbering & Hairdressing,Conditional Pass,2020-01-27,One or more significant infractions were observed under the Bodysafe Premises Regulation during an inspection.,02 - General Setting Requirements,Personal service setting - fail to collect and remove waste as often as necessary to maintain sanitary condition. Reg. Subsec. 8 (4),C - Crucial,Ticket,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.23444, 43.77674]]}"
35,10465284,HAPPY SALON,"2058 ELLESMERE RD, UNIT-7",Barbering & Hairdressing,Conditional Pass,2020-01-27,One or more significant infractions were observed under the Bodysafe Premises Regulation during an inspection.,02 - General Setting Requirements,Personal service setting - fail to ensure adequate storage space for necessary equipment and supplies. Reg. Para. 10 of subsec. 8 (1),S - Significant,Notice to Comply,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.23444, 43.77674]]}"
36,10465284,HAPPY SALON,"2058 ELLESMERE RD, UNIT-7",Barbering & Hairdressing,Conditional Pass,2020-01-27,One or more significant infractions were observed under the Bodysafe Premises Regulation during an inspection.,04 - Reprocessing and Maintenance of Reusable Equipment/Instruments,Reusable equipment not cleaned and disinfected or sterilized between each use. Reg. Clause 10 (4)(a),C - Crucial,Notice to Comply,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.23444, 43.77674]]}"
37,10466779,URBAN IMAGE HAIR STUDIO,460 DAWES RD,Barbering & Hairdressing,Pass,2023-10-20,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.2972, 43.70282]]}"
38,10467476,THE MANOR,659 MOUNT PLEASANT RD,Barbering & Hairdressing,Pass,2023-08-03,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.38878, 43.7055]]}"
39,10467794,ADVANCED INSTITUTE OF ELECTROLYSIS,"600 SHERBOURNE ST, UNIT-304",Aesthetics,Pass,2023-12-12,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.37688, 43.67163]]}"
40,10468233,SALONI BEAUTY SALON,"11 WESTMORE DR, UNIT-7",Aesthetics,Pass,2023-08-04,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.60361, 43.743]]}"
41,10468233,SALONI BEAUTY SALON,"11 WESTMORE DR, UNIT-7",Barbering & Hairdressing,Pass,2023-08-04,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.60361, 43.743]]}"
42,10531915,JESUS IS THE ANSWER BEAUTY & HAIR SALON,1725 JANE ST,Barbering & Hairdressing,Pass,2023-07-24,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.50387, 43.70438]]}"
43,10529412,K & M BARBER SHOP,"3545 LAKE SHORE BLVD W, UNIT-402",Barbering & Hairdressing,Pass,2020-02-26,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.53302, 43.59435]]}"
44,10530194,NAIL BOUTIQUE,"55 ST CLAIR AVE W, UNIT-106",Aesthetics,Pass,2023-10-24,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.39159, 43.6885]]}"
45,10530194,NAIL BOUTIQUE,"55 ST CLAIR AVE W, UNIT-106",Aesthetics,Conditional Pass,2023-10-20,One or more significant infractions were observed under the Bodysafe Premises Regulation during an inspection.,04 - Reprocessing and Maintenance of Reusable Equipment/Instruments,Reusable equipment not cleaned and disinfected or sterilized between each use. Reg. Clause 10 (4)(a),C - Crucial,Notice to Comply,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.39159, 43.6885]]}"
46,10530194,NAIL BOUTIQUE,"55 ST CLAIR AVE W, UNIT-106",Aesthetics,Conditional Pass,2023-10-20,One or more significant infractions were observed under the Bodysafe Premises Regulation during an inspection.,09 - Additional Record Requirements,Fail to keep accidental exposure records of personal service setting as required. Reg. Para. 4 of subsec. 14 (1),C - Crucial,Notice to Comply,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.39159, 43.6885]]}"
47,10530194,NAIL BOUTIQUE,"55 ST CLAIR AVE W, UNIT-106",Nails,Pass,2023-10-24,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.39159, 43.6885]]}"
48,10530194,NAIL BOUTIQUE,"55 ST CLAIR AVE W, UNIT-106",Nails,Conditional Pass,2023-10-20,One or more significant infractions were observed under the Bodysafe Premises Regulation during an inspection.,04 - Reprocessing and Maintenance of Reusable Equipment/Instruments,Reusable equipment not cleaned and disinfected or sterilized between each use. Reg. Clause 10 (4)(a),C - Crucial,Notice to Comply,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.39159, 43.6885]]}"
49,10530194,NAIL BOUTIQUE,"55 ST CLAIR AVE W, UNIT-106",Nails,Conditional Pass,2023-10-20,One or more significant infractions were observed under the Bodysafe Premises Regulation during an inspection.,09 - Additional Record Requirements,Fail to keep accidental exposure records of personal service setting as required. Reg. Para. 4 of subsec. 14 (1),C - Crucial,Notice to Comply,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.39159, 43.6885]]}"
50,10531305,TRADE SECRETS,"25 THE WEST MALL, UNIT-G-38-BOX 219",Aesthetics,Pass,2023-07-28,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.55597, 43.61265]]}"
51,10531305,TRADE SECRETS,"25 THE WEST MALL, UNIT-G-38-BOX 219",Barbering & Hairdressing,Pass,2023-07-28,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.55597, 43.61265]]}"
52,10531305,TRADE SECRETS,"25 THE WEST MALL, UNIT-G-38-BOX 219",Ear Piercing,Pass,2023-07-31,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.55597, 43.61265]]}"
53,10531305,TRADE SECRETS,"25 THE WEST MALL, UNIT-G-38-BOX 219",Ear Piercing,Conditional Pass,2023-07-28,None,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.55597, 43.61265]]}"
54,10531305,TRADE SECRETS,"25 THE WEST MALL, UNIT-G-38-BOX 219",Nails,Pass,2023-07-28,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.55597, 43.61265]]}"
55,10532003,"ANGEL SALON, SPA","6055 STEELES AVE E, UNIT-C128",Aesthetics,Pass,2020-03-03,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.24952, 43.83657]]}"
56,10532003,"ANGEL SALON, SPA","6055 STEELES AVE E, UNIT-C128",Barbering & Hairdressing,Pass,2020-02-27,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.24952, 43.83657]]}"
57,10532193,AMAZING NAILS,"4455 SHEPPARD AVE E, UNIT-7",Aesthetics,Pass,2023-06-14,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.26671, 43.7875]]}"
58,10532193,AMAZING NAILS,"4455 SHEPPARD AVE E, UNIT-7",Nails,Pass,2023-06-15,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.26671, 43.7875]]}"
59,10532193,AMAZING NAILS,"4455 SHEPPARD AVE E, UNIT-7",Nails,Conditional Pass,2023-06-14,One or more significant infractions were observed under the Bodysafe Premises Regulation during an inspection.,05 - Single-Use Equipment & Instruments,Personal service setting - single-use equipment not discarded immediately after use. Reg. Subsec. 10 (5),C - Crucial,Notice to Comply,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.26671, 43.7875]]}"
60,10532195,ANU BEAUTY NAILS & SPA,"259 QUEEN ST W, FLR-2",Aesthetics,Pass,2023-07-17,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.38901, 43.65009]]}"
61,10532195,ANU BEAUTY NAILS & SPA,"259 QUEEN ST W, FLR-2",Aesthetics,Pass,2020-01-30,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.38901, 43.65009]]}"
62,10532195,ANU BEAUTY NAILS & SPA,"259 QUEEN ST W, FLR-2",Nails,Pass,2023-07-17,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.38901, 43.65009]]}"
63,10532195,ANU BEAUTY NAILS & SPA,"259 QUEEN ST W, FLR-2",Nails,Pass,2020-01-30,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.38901, 43.65009]]}"
64,10529370,LLOYD'S BABRER SHOP,858 BATHURST ST,Barbering & Hairdressing,Pass,2023-08-16,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.41206, 43.66677]]}"
65,10585097,KIM'S ATTRACTIVE NAILS,1375 WESTON RD,Aesthetics,Pass,2023-10-23,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.50007, 43.69115]]}"
66,10585097,KIM'S ATTRACTIVE NAILS,1375 WESTON RD,Nails,Pass,2023-10-23,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.50007, 43.69115]]}"
67,10584693,PEDI N NAILS,2571 VICTORIA PARK AVE,Aesthetics,Pass,2023-07-13,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.32199, 43.77409]]}"
68,10584693,PEDI N NAILS,2571 VICTORIA PARK AVE,Nails,Pass,2023-07-17,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.32199, 43.77409]]}"
69,10584693,PEDI N NAILS,2571 VICTORIA PARK AVE,Nails,Conditional Pass,2023-07-13,One or more significant infractions were observed under the Bodysafe Premises Regulation during an inspection.,02 - General Setting Requirements,Personal service setting - fail to ensure adequate storage space for necessary equipment and supplies. Reg. Para. 10 of subsec. 8 (1),S - Significant,Notice to Comply,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.32199, 43.77409]]}"
70,10584708,HIGHER LEVEL CANADIAN HAIR SALON,"3893 KEELE ST, B",Barbering & Hairdressing,Pass,2020-02-13,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.48967, 43.76095]]}"
71,10584887,CURIO HAIR+BODY,"25 THE WEST MALL, UNIT-1340",Aesthetics,Pass,2024-01-16,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.55597, 43.61265]]}"
72,10584887,CURIO HAIR+BODY,"25 THE WEST MALL, UNIT-1340",Barbering & Hairdressing,Pass,2024-01-16,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.55597, 43.61265]]}"
73,10584887,CURIO HAIR+BODY,"25 THE WEST MALL, UNIT-1340",Ear Piercing,Pass,2024-01-16,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.55597, 43.61265]]}"
74,10584887,CURIO HAIR+BODY,"25 THE WEST MALL, UNIT-1340",Nails,Pass,2024-01-16,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.55597, 43.61265]]}"
75,10585217,JULIA'S ESTHETICS,"615 BLOOR ST W, UNIT A",Aesthetics,Pass,2023-09-22,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.41382, 43.66456]]}"
76,10585260,PRABHA'S BEAUTY SALON & SPA INC,"1515 BIRCHMOUNT RD, UNIT-14",Aesthetics,Pass,2023-08-03,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.2892, 43.75891]]}"
77,10585260,PRABHA'S BEAUTY SALON & SPA INC,"1515 BIRCHMOUNT RD, UNIT-14",Aesthetics,Pass,2020-01-30,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.2892, 43.75891]]}"
78,10585260,PRABHA'S BEAUTY SALON & SPA INC,"1515 BIRCHMOUNT RD, UNIT-14",Barbering & Hairdressing,Pass,2023-08-03,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.2892, 43.75891]]}"
79,10585260,PRABHA'S BEAUTY SALON & SPA INC,"1515 BIRCHMOUNT RD, UNIT-14",Barbering & Hairdressing,Pass,2020-01-30,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.2892, 43.75891]]}"
80,10585260,PRABHA'S BEAUTY SALON & SPA INC,"1515 BIRCHMOUNT RD, UNIT-14",Nails,Pass,2023-08-03,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.2892, 43.75891]]}"
81,10585260,PRABHA'S BEAUTY SALON & SPA INC,"1515 BIRCHMOUNT RD, UNIT-14",Nails,Pass,2020-01-30,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.2892, 43.75891]]}"
82,10585329,RAY DANIEL SALON & SPA,"500 REXDALE BLVD, UNIT-A018",Aesthetics,Pass,2020-02-07,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.60006, 43.72039]]}"
83,10585329,RAY DANIEL SALON & SPA,"500 REXDALE BLVD, UNIT-A018",Barbering & Hairdressing,Pass,2020-02-07,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.60006, 43.72039]]}"
84,10585329,RAY DANIEL SALON & SPA,"500 REXDALE BLVD, UNIT-A018",Body Piercing,Pass,2020-02-07,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.60006, 43.72039]]}"
85,10585329,RAY DANIEL SALON & SPA,"500 REXDALE BLVD, UNIT-A018",Ear Piercing,Pass,2020-02-07,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.60006, 43.72039]]}"
86,10585329,RAY DANIEL SALON & SPA,"500 REXDALE BLVD, UNIT-A018",Micropigmentation/Microblading,Pass,2020-02-07,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.60006, 43.72039]]}"
87,10585329,RAY DANIEL SALON & SPA,"500 REXDALE BLVD, UNIT-A018",Nails,Pass,2020-02-07,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.60006, 43.72039]]}"
88,10585660,LOVES 2DO HAIR,"2350 FINCH AVE W, UNIT-A",Barbering & Hairdressing,Pass,2023-08-11,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.54397, 43.75221]]}"
89,10631086,CABBAGETOWN'S BARBERSHOP,525 PARLIAMENT ST,Barbering & Hairdressing,Pass,2024-01-02,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,NA,None,NA,"{'type': 'MultiPoint', 'coordinates': [[-79.36821, 43.66547]]}"
